driverId,name,ssn,location,certified,wage-plan
10,Brandon Chandler,206-41-0432,"USCGC Vargas
FPO AP 47637",N,miles
11,Gregory Stewart,881-48-8249,"573 Ochoa Pass
Johnsonton, WV 36802",Y,miles
12,Mark Sherman,763-34-0693,"919 Reyes Roads Apt. 775
Christopherchester, IA 55702",Y,hours
13,Erika Sellers,413-94-9785,"Unit 4525 Box 1415
DPO AA 87744",N,miles
14,Bethany Jones,496-91-0292,"209 Cook Roads
Port Douglas, WA 52131",Y,miles
15,Isabel Mitchell,551-41-1460,"5332 French Summit
East Steven, WA 69834",N,hours
16,Michael Chaney,355-03-1137,"41237 Rogers Key Apt. 964
North Reginaldview, OH 73136",Y,hours
17,Chelsea Johnson,837-29-4457,"7699 Brown Lodge
Lake Melissaport, OK 15705",N,hours
18,Chelsea Harper,342-41-2924,"406 Rodriguez Flat Suite 794
Christineview, MD 25966",Y,hours
19,Nicholas Lee,229-37-7090,"07815 Keller Village
Sandrafort, VI 66820",N,miles
20,Briana Moreno,804-80-1287,"19690 Lewis Hollow
Longburgh, NY 70173",N,hours
21,Eric Blanchard,379-66-1437,"032 Matthew Falls Apt. 542
Maymouth, AL 92780",Y,miles
22,Amy Mendoza,459-25-3521,"5290 Ross Ridge Apt. 633
Lake Tammyton, ID 45532",Y,miles
23,Jasmine Torres,708-42-2611,"739 Conrad Station
North Candace, ND 06725",Y,miles
24,Madison Huffman,114-76-2149,"093 Howard Groves Suite 507
Judithmouth, GA 44560",N,miles
25,Anthony Baker,853-14-3036,"USNV Robinson
FPO AA 04664",Y,hours
26,Donald Watson,062-43-1134,"730 Monique Mall Suite 360
Woodmouth, CO 70731",N,miles
27,Michael Costa,086-03-8461,"Unit 4014 Box 8587
DPO AA 81413",N,hours
28,Joseph Good,248-78-1434,"996 Elizabeth Skyway Apt. 426
Michaelfurt, FL 23681",N,miles
29,Joshua Rodriguez,243-45-1479,"99385 Johnson Crossing Suite 329
West Jeffrey, AR 63215",Y,hours
